Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Län,Kommun,Badplats,Eu-bad,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
"20,4",50,=,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000691""  target = ""_blank"">Klintbadet</a>",N,"56,5486382656193","13,7247865536474",Sjö,2015-08-11 00:00:00,Mulet,Tjänligt,Ingen blomning
"19,9",20,=,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000691""  target = ""_blank"">Klintbadet</a>",N,"56,5486382656193","13,7247865536474",Sjö,2015-07-14 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"17,4",30,=,=,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000691""  target = ""_blank"">Klintbadet</a>",N,"56,5486382656193","13,7247865536474",Sjö,2015-06-16 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"11,8",10,<,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000691""  target = ""_blank"">Klintbadet</a>",N,"56,5486382656193","13,7247865536474",Sjö,2015-05-19 00:00:00,Regn,Tjänligt,Ingen blomning
"19,8",98,=,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000692""  target = ""_blank"">Hannabadssjön</a>",N,"56,4402915382703","13,5691960574995",Sjö,2015-08-11 00:00:00,Regn,Tjänligt,Ingen blomning
"18,4",10,<,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000692""  target = ""_blank"">Hannabadssjön</a>",N,"56,4402915382703","13,5691960574995",Sjö,2015-07-14 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"14,5",20,=,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000692""  target = ""_blank"">Hannabadssjön</a>",N,"56,4402915382703","13,5691960574995",Sjö,2015-06-16 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"12,8",10,<,<,10,Kronoberg,Markaryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920767000000692""  target = ""_blank"">Hannabadssjön</a>",N,"56,4402915382703","13,5691960574995",Sjö,2015-05-19 00:00:00,Mulet,Tjänligt,Ingen blomning
"20,7",20,=,=,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001122""  target = ""_blank"">Mårdslyckesand</a>",J,"56,5282011047023","14,9621754544436",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,9",190,=,=,80,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001122""  target = ""_blank"">Mårdslyckesand</a>",J,"56,5282011047023","14,9621754544436",Sjö,2015-07-14 00:00:00,Viss molnighet,Tjänligt m. Anm.,Ingen blomning
"17,1",20,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001122""  target = ""_blank"">Mårdslyckesand</a>",J,"56,5282011047023","14,9621754544436",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,1",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001126""  target = ""_blank"">Blötan</a>",J,"56,487585207535","15,0778607762164",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,6",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001126""  target = ""_blank"">Blötan</a>",J,"56,487585207535","15,0778607762164",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"16,2",10,<,=,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001126""  target = ""_blank"">Blötan</a>",J,"56,487585207535","15,0778607762164",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,2",20,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001127""  target = ""_blank"">Näset</a>",N,"56,5075576716102","15,1468284827211",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"19,2",10,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001127""  target = ""_blank"">Näset</a>",N,"56,5075576716102","15,1468284827211",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"17,7",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001127""  target = ""_blank"">Näset</a>",N,"56,5075576716102","15,1468284827211",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,3",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001128""  target = ""_blank"">Djupasjön</a>",J,"56,4982733676336","15,3092972213046",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
19,10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001128""  target = ""_blank"">Djupasjön</a>",J,"56,4982733676336","15,3092972213046",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"17,3",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001128""  target = ""_blank"">Djupasjön</a>",J,"56,4982733676336","15,3092972213046",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,7",20,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001130""  target = ""_blank"">Nabben</a>",J,"56,65360339416","15,1471670936835",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,6",30,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001130""  target = ""_blank"">Nabben</a>",J,"56,65360339416","15,1471670936835",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"17,2",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001130""  target = ""_blank"">Nabben</a>",J,"56,65360339416","15,1471670936835",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
18,10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001132""  target = ""_blank"">Ursöbadet</a>",J,"56,6300246995509","14,8596451364532",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,2",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001132""  target = ""_blank"">Ursöbadet</a>",J,"56,6300246995509","14,8596451364532",Sjö,2015-07-14 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"16,4",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001132""  target = ""_blank"">Ursöbadet</a>",J,"56,6300246995509","14,8596451364532",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"16,6",10,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001133""  target = ""_blank"">Kärrasand</a>",N,"56,5842794141837","14,7851438452278",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"19,7",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001133""  target = ""_blank"">Kärrasand</a>",N,"56,5842794141837","14,7851438452278",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"16,6",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001133""  target = ""_blank"">Kärrasand</a>",N,"56,5842794141837","14,7851438452278",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,3",30,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001134""  target = ""_blank"">Rävabacken</a>",J,"56,5437047753228","14,8052249192523",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"19,4",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001134""  target = ""_blank"">Rävabacken</a>",J,"56,5437047753228","14,8052249192523",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"17,6",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001134""  target = ""_blank"">Rävabacken</a>",J,"56,5437047753228","14,8052249192523",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,8",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001135""  target = ""_blank"">Norraryd</a>",J,"56,4868393516285","14,7017270154813",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,6",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001135""  target = ""_blank"">Norraryd</a>",J,"56,4868393516285","14,7017270154813",Sjö,2015-07-14 00:00:00,Mulet,Tjänligt,Ingen blomning
"17,4",20,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001135""  target = ""_blank"">Norraryd</a>",J,"56,4868393516285","14,7017270154813",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
19,10,<,=,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001136""  target = ""_blank"">Kuppersmåla</a>",N,"56,4491152439032","14,6814151294813",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"19,6",10,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001136""  target = ""_blank"">Kuppersmåla</a>",N,"56,4491152439032","14,6814151294813",Sjö,2015-07-14 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"17,6",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001136""  target = ""_blank"">Kuppersmåla</a>",N,"56,4491152439032","14,6814151294813",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,7",10,<,=,20,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001137""  target = ""_blank"">Laxasand</a>",N,"56,4291851475062","14,8253033592136",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"16,7",10,<,=,20,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001137""  target = ""_blank"">Laxasand</a>",N,"56,4291851475062","14,8253033592136",Sjö,2015-07-14 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"14,4",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001137""  target = ""_blank"">Laxasand</a>",N,"56,4291851475062","14,8253033592136",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,2",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001138""  target = ""_blank"">Midingsbråte</a>",J,"56,3956895834648","14,8304077286966",Sjö,2015-08-04 00:00:00,Klart,Tjänligt,Ingen blomning
"18,3",20,=,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001138""  target = ""_blank"">Midingsbråte</a>",J,"56,3956895834648","14,8304077286966",Sjö,2015-07-14 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"14,9",10,<,<,10,Kronoberg,Tingsryd,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920763000001138""  target = ""_blank"">Midingsbråte</a>",J,"56,3956895834648","14,8304077286966",Sjö,2015-06-16 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,5",90,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-08-19 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
20,20,=,=,50,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
18,140,=,=,20,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt m. Anm.,Ingen blomning
"19,5",10,<,=,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-07-08 00:00:00,Mulet,Tjänligt,Ingen blomning
17,80,=,=,90,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
17,20,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001293""  target = ""_blank"">Uvasjön, Fröseke</a>",N,"56,9498778836911","15,7978332143037",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
"19,5",10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001294""  target = ""_blank"">Älgasjön, Älghult</a>",N,"57,0121201958871","15,601120063676",Sjö,2015-08-19 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,5",10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001294""  target = ""_blank"">Älgasjön, Älghult</a>",N,"57,0121201958871","15,601120063676",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
18,10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001294""  target = ""_blank"">Älgasjön, Älghult</a>",N,"57,0121201958871","15,601120063676",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt,Ingen blomning
17,10,<,=,50,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001294""  target = ""_blank"">Älgasjön, Älghult</a>",N,"57,0121201958871","15,601120063676",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
16,10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001294""  target = ""_blank"">Älgasjön, Älghult</a>",N,"57,0121201958871","15,601120063676",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
"17,5",50,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-08-19 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
19,20,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
17,10,=,=,30,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt,Ingen blomning
20,10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-07-08 00:00:00,Mulet,Tjänligt,Ingen blomning
15,20,=,=,80,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
16,10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001295""  target = ""_blank"">Lenhovdasjön</a>",N,"56,9990880924959","15,2869099917765",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
"19,5",10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-08-19 00:00:00,Klart,Tjänligt,Ingen blomning
20,10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
18,10,<,=,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt,Ingen blomning
19,10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-07-08 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"15,5",140,=,=,100,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt m. Anm.,Ingen blomning
"17,5",10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001296""  target = ""_blank"">Björkåkragölen, Åseda</a>",N,"57,1730317615886","15,3332420558948",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
18,10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-08-19 00:00:00,Klart,Tjänligt,Ingen blomning
17,20,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
17,170,=,=,50,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt m. Anm.,Ingen blomning
19,60,=,=,50,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-07-08 00:00:00,Mulet,Tjänligt,Ingen blomning
"16,5",100,=,=,30,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
16,90,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001297""  target = ""_blank"">Madkroken, Nottebäck</a>",N,"57,1008824642677","15,1625635251224",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
19,10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-08-19 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,5",10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
18,10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt,Ingen blomning
20,40,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-07-08 00:00:00,Mulet,Tjänligt,Ingen blomning
15,10,<,=,90,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
"15,5",10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001298""  target = ""_blank"">Änghultssjön, Klavreström</a>",N,"57,1402652239708","15,1379297174738",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
19,10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-08-19 00:00:00,Klart,Tjänligt,Ingen blomning
"18,5",10,=,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-08-05 00:00:00,Mulet,Tjänligt,Ingen blomning
17,10,<,=,30,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-07-22 00:00:00,Mulet,Tjänligt,Ingen blomning
19,10,<,=,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-07-08 00:00:00,Mulet,Tjänligt,Ingen blomning
16,10,<,=,70,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-06-24 00:00:00,Mulet,Tjänligt,Ingen blomning
"15,5",10,<,<,10,Kronoberg,Uppvidinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920760000001299""  target = ""_blank"">Boskvarnasjön, Lindshammar</a>",N,"57,2296279309124","15,1404536611978",Sjö,2015-06-10 00:00:00,Klart,Tjänligt,Ingen blomning
16,10,<,=,20,Kronoberg,Växjö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920780000001531""  target = ""_blank"">Allgunnen, Björnö</a>",N,"57,1767361991569","14,6081776124842",Sjö,2015-06-22 00:00:00,Mulet,Tjänligt,Ingen blomning
18,10,<,<,10,Kronoberg,Växjö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920780000001532""  target = ""_blank"">Asasjön, Grönalund</a>",N,"57,1101853045736","14,8017828223256",Sjö,2015-06-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
17,10,=,=,30,Kronoberg,Växjö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920780000001533""  target = ""_blank"">Asasjön, Asa</a>",N,"57,162186066239","14,791283007916",Sjö,2015-06-22 00:00:00,Mulet,Tjänligt,Ingen blomning
17,10,<,<,10,Kronoberg,Växjö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920780000001536""  target = ""_blank"">Lädjasjön</a>",N,"57,1043203446445","14,6922021386371",Sjö,2015-06-22 00:00:00,Regnskurar,Tjänligt,Ingen blomning
17,10,<,<,10,Kronoberg,Växjö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920780000001537""  target = ""_blank"">Årydsjön Åryd</a>",N,"56,8277672518997","14,9887164551175",Sjö,2015-07-27 00:00:00,Regnskurar,Tjänligt,Ingen blomning
